Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background,Candidato,Tema
2017,12,16,,,,,,,Los Secretarios más jóvenes en el gabinete de AMLO,Dentro del gabinete de AMLO hay dos jóvenes de 30 y 35 años.,http://www.nacion321.com/files/article_main/uploads/2017/12/14/c88d8d0a60977_position1_retina.jpg,Nación 321,"<a href=""http://www.nacion321.com/elecciones/conoce-a-los-2-millennials-que-estan-en-el-gabinete-de-amlo"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,16,18:39,,,,,,Llamado a defender,,https://youtu.be/Zq7PBhBijrc,Twitter,"<a href=""https://youtu.be/Zq7PBhBijrc"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,17,15:59,,,,,,"AMLO propone subirle el sueldo a policías, marinos y militares para reducir la inseguridad",acciones básicas contra la inseguridad,http://www.animalpolitico.com/wp-content/uploads/2017/12/amlo-lopez-obrador-inseguridad-960x500.jpg,www.lopezobrador.org.mx,"<a href=""http://www.animalpolitico.com/2017/12/amlo-inseguridad-plan-decalogo/"">Leer nota</a>",https://seeklogo.com/images/M/movimiento-de-regeneracion-nacional-morena-logo-7660423A28-seeklogo.com.png,,Propuestas,,AMLO,Seguridad
2017,12,18,,,,,,,Mover secretarías,"a propuesta contempla, por ejemplo, trasladar a la Secretaría de Turismo a Chetumal, Quintana Roo; Semarnat a Mérida, Yucatán; Pemex a Ciudad del Carmen, Campeche; SENER a Villahermosa, Tabasco; CFE a Tuxtla Gutiérrez, Chiapas; Conagua a Veracruz; Sedesol a Oaxaca, y SEP a Puebla.",https://cdn.forbes.com.mx/2016/09/amlo-3-640x400.jpg,Morena,"<a href=""https://www.forbes.com.mx/30-anos-mover-secretarias-estados-propuesta-amlo/"">Leer nota</a>",https://seeklogo.com/images/M/movimiento-de-regeneracion-nacional-morena-logo-7660423A28-seeklogo.com.png,,Propuestas,,AMLO,Administración pública
2017,12,18,,,,,,,Revisión de fondos para reconstrucción de la ciudad,"AMLO propone dar 3600 pesos a jóvenes para que lo destinen a aprender oficios y se integren a la vida laboral.,",https://abrilveja.files.wordpress.com/2016/05/duvida_carreira-original1.jpeg?quality=70&strip=info&w=1024,Veja,"<a href=""http://www.mvsnoticias.com/#!/noticias/propone-amlo-dar-beca-de-2-mil-400-pesos-mensuales-a-ninis-video-410"">Leer nota</a>",https://seeklogo.com/images/M/movimiento-de-regeneracion-nacional-morena-logo-7660423A28-seeklogo.com.png,,Propuestas,,AMLO,Desarrollo social
2017,12,18,,,,,,,AMLO se registra como candidato al PES,Andrés Manuel negó que las diferencias entre MORENA y PES fueran abismales,http://tiempodigital.mx/wp-content/uploads/2017/12/05.AMLO_PES.jpg,Notimex,"<a href=""http://www.excelsior.com.mx/nacional/2017/12/18/1208594"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,18,,,,,,,¿quién ofrece más a los jóvenes?,"35 millones de Millenials que comprenden la edad de entre 18 a 34 años, y representan poco más del 40% de la lista nominal de electores, según el último corte del 8 de diciembre de 2017.",http://www.nacion321.com/files/article_main/uploads/2017/12/14/a9b7ba70783b6_position1_retina.jpg,Cuarto oscuro,"<a href=""http://www.nacion321.com/elecciones/amlo-meade-o-anaya-quien-ofrece-mas-a-los-jovenes"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,18,,,,,,,Anuncia nombramiento de Secretario de SSP,,http://lopezobrador.org.mx/wp-content/uploads/2017/12/Calpulalpan-03-1024x683.jpg,AMLO pagina oficial Boletín 00-007,"<a href=""http://lopezobrador.org.mx/secciones/comunicados/page/3/"">Leer nota</a>",https://seeklogo.com/images/M/movimiento-de-regeneracion-nacional-morena-logo-7660423A28-seeklogo.com.png,,Propuestas,,AMLO,Administración pública
2017,12,19,,,,,,,AMLO toma coctel de pastillas,"Ante la propuesta de Meade de hacer exámenes físicos a las candidatos, Andrés Manuel respondió que hay problemas más importantes que atender",http://lopezobrador.org.mx/wp-content/uploads/2017/12/Huautla-de-Jim%C3%A9nez-04-e1513727984880-683x1024.jpg,El Financiero,"<a href=""http://www.elfinanciero.com.mx/nacional/tomo-un-coctel-de-pastillas-a-diario-lopez-obrador.html"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,19,,,,,,,El voto es de quien lo trabaja,Confronta decisiones de Meade sobre gasolinazo,https://pbs.twimg.com/media/DRiWsIAV4AAb85K.jpg,Twitter,"<a href=""https://twitter.com/lopezobrador_/status/943669817944526848"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,20,,,,,,,Condena asesinatos a periodistas,"AMLO tocó el tema de ataque a los peridistas, la mala administración de Yunes y la posición de los Candidatos Independientes en las encuestas.",http://lopezobrador.org.mx/wp-content/uploads/2017/12/Tlalchinol-1024x683.jpg,AMLO pagina oficial Boletín 00-009,"<a href=""http://lopezobrador.org.mx/secciones/comunicados/page/3/"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,21,,,,,,,Spot pidiendo ayuda sobre levantamiento de censo sobre viviendas destruídad en los temblores pasados.,Programa de rehabilitación de la vivienda,https://youtu.be/SISw48YI0Vg,Youtube,"<a href=""https://youtu.be/SISw48YI0Vg"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,21,,,,,,,Plan de emergencia ante la reforma fiscal de EU,Anuncio que después de la descentralización la Secretaría de la Urbano estaría en Hidalgo,http://lopezobrador.org.mx/wp-content/uploads/2017/12/Cuautpec-1024x683.jpg,AMLO pagina oficial Boletín 00-011,"<a href=""http://lopezobrador.org.mx/secciones/comunicados/page/3/"">Leer nota</a>",https://seeklogo.com/images/M/movimiento-de-regeneracion-nacional-morena-logo-7660423A28-seeklogo.com.png,,Propuestas,,AMLO,Administración pública
2017,12,22,,,,,,,Informe de los apoyos entregados a los damnificados de los sismos,"Reporta finanzas del ""Donativo obtenidos en el fideicomiso por los demás al 21 de diciembre"". Han entregado 14396 apoyos que equivalen a $34,550,400.",https://www.youtube.com/watch?v=UR2uuyCCaNw&feature=youtu.be,Youtube,"<a href=""https://www.youtube.com/watch?v=UR2uuyCCaNw&feature=youtu.be"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
